# ./img/test_model.bmp ./img/test_scene.bmp
angle,votes,location_x,location_y
0,416,50,186
45,655,68,69
90,416,150,186
135,663,206,68
180,416,249,187
225,663,345,68
270,416,348,189
315,663,482,68
